Unnamed: 0,Unnamed: 1,Underweight,Unnamed: 3,Unnamed: 4,Unnamed: 5,Healthy weight,Unnamed: 7,Unnamed: 8,Unnamed: 9,Overweight,Unnamed: 11,Unnamed: 12,Unnamed: 13,Obese,Unnamed: 15,Unnamed: 16,Unnamed: 17,Number of children measured,Unnamed: 19,Participation rate,Unnamed: 21,Unnamed: 22
,,Reception,,Year 6,,Reception,,Year 6,,Reception,,Year 6,,Reception,,Year 6,,,,,,
ONS Code,Area,Prevalence (%),95% confidence interval ±,Prevalence (%),95% confidence interval ±,Prevalence (%),95% confidence interval ±,Prevalence (%),95% confidence interval ±,Prevalence (%),95% confidence interval ±,Prevalence (%),95% confidence interval ±,Prevalence (%),95% confidence interval ±,Prevalence (%),95% confidence interval ±,Reception,Year 6,Reception,Year 6,Old District Code 
,,,,,,,,,,,,,,,,,,,,,,
E09000002,Barking and Dagenham,1.145402481705377,0.3720681515289712,1.59963436928702,0.5258143314316631,72.19217308304168,1.566655774911146,56.17001828153565,2.0795129386282714,12.949411390391347,1.173966950379132,15.310786106032905,1.5091642020405365,13.713013044861597,1.202774182261033,26.919561243144425,1.8589095608279567,3143,2188,95.44488308533252,93.38454972257789,00AB
E09000003,Barnet,0.916590284142988,0.326534850744278,1.6853932584269662,0.488352542951111,78.06293919951115,1.4179245193132062,64.30711610486891,1.8175825337869445,11.365719523373052,1.0875288144349213,14.831460674157304,1.3483584647084026,9.654750992972808,1.0119630184704975,19.176029962546817,1.4935619583638422,3273,2670,88.91605541972291,82.99658066521603,00AC
E09000004,Bexley,0.7424907188660141,0.3091596202092951,1.4274061990212072,0.46960024727807176,74.28282146473168,1.5740242515145892,61.092985318107665,1.9301277892463053,14.276071549105637,1.259827123991748,15.293637846655791,1.4249179312119058,10.698616267296659,1.1131366022223248,22.185970636215334,1.6449193315425585,2963,2452,94.15316174134097,89.71825832418587,00AD
E09000005,Brent,2.070921985815603,0.47018399682944173,2.1813224267212,0.5286434862768508,75.31914893617021,1.4235178223016725,60.56578050443081,1.7686518121612755,10.893617021276595,1.0286570341155454,14.65576005453306,1.2799215168479787,11.71631205673759,1.0618565243196274,22.597137014314928,1.513551773636251,3525,2934,96.9205389056915,98.02873371199465,00AE
E09000006,Bromley,0.8965929468021518,0.3194419745238171,0.7641542202153525,0.31814675061990694,78.81052002390915,1.3848485347142743,67.9055227509552,1.7055733357660525,12.851165570830842,1.134101907634947,15.69989579715179,1.329122888396194,7.44172145845786,0.8893943568848203,15.630427231677665,1.3267254057969775,3346,2879,93.69924390926911,92.03964194373401,00AF
E09000007,Camden,1.5256588072122053,0.6328581142666737,1.721556886227545,0.6977458804926278,74.27184466019418,2.257005048180132,61.52694610778443,2.6098675543022214,13.800277392510402,1.7807909616808573,14.446107784431137,1.885830996420789,10.402219140083217,1.5762595346149928,22.305389221556887,2.2330981348490515,1442,1336,93.39378238341969,92.77777777777779,00AG
E09000008,Croydon,0.8351228823669768,0.2755466975395434,0.974770642201835,0.32609659661268947,74.99403483655452,1.311222070088651,60.77981651376147,1.6205283019314625,12.383679312813172,0.9973748985177848,15.36697247706422,1.1969781217691922,11.78716296826533,0.9763636863766835,22.878440366972477,1.394194055719696,4191,3488,92.3331130204891,92.32398094229751,00AH
E09000009,Ealing,1.5430562468889994,0.38116343223489846,2.1549031855090566,0.5030239569225986,74.91289198606272,1.3406047584921428,61.086820737039346,1.6889911453239161,10.975609756097562,0.9666427712530907,14.584634603372892,1.2227031525891858,12.568442010950722,1.0251136269866716,22.1736414740787,1.4390872310127163,4018,3202,97.33527131782945,96.41674194519723,00AJ
E09000010,Enfield,0.9615384615384616,0.3003571223475744,1.335656213704994,0.3834484971634249,72.21400394477317,1.378720900588034,59.00116144018583,1.6428413939652502,13.732741617357004,1.0593861339224362,15.882694541231126,1.2209119587901032,13.091715976331361,1.0382012241573029,23.78048780487805,1.4220767682707267,4056,3444,92.13993639254883,92.60553912342027,00AK
E09000011,Greenwich,0.7694675284702985,0.3005092816181368,1.368726669431771,0.46387957910133604,71.4065866420437,1.5539685276365465,57.279137287432604,1.9749577579013875,15.23545706371191,1.2358761088406782,16.424720033181252,1.47920197344694,12.588488765774084,1.1408044154045252,24.927416009954374,1.7271055620193179,3249,2411,96.40949554896142,95.63665212217374,00AL
E09000012,Hackney1,1.0817307692307692,0.4058921593285392,1.6129032258064515,0.5301411831833807,71.63461538461539,1.7687588305932205,55.6221198156682,2.0908619523050955,13.902243589743591,1.3575354525441818,15.622119815668203,1.5279269895682293,13.381410256410255,1.3358857377661943,27.142857142857142,1.8714669569890108,2496,2170,98.26771653543307,97.92418772563177,00AM1
E09000013,Hammersmith and Fulham,0.7215007215007215,0.4457272551831792,1.157613535173642,0.6259001733634957,74.60317460317461,2.2924062041694904,58.59305431878896,2.8821151581621676,14.646464646464647,1.8620887029919195,14.425645592163846,2.0558485000845184,10.028860028860029,1.5819785875002095,25.823686553873554,2.5609046337301633,1386,1123,97.60563380281691,97.73716275021758,00AN
E09000014,Haringey,0.6058446186742694,0.28717240767687047,1.0065645514223196,0.40937758071058944,75.2672843905916,1.5966902880845089,60.218818380743976,2.0072663097021386,12.295081967213115,1.2152324166190556,15.0109409190372,1.4648242115002164,11.831789023521026,1.1952613628136024,23.7636761487965,1.7455722411436507,2806,2285,89.61992973490898,89.08382066276803,00AP
E09000015,Harrow,4.5958145260566265,0.8315232746712423,3.281096963761019,0.7728439334947599,73.98440705785802,1.742193592556534,60.871694417238,2.1172873602992444,12.10504718916701,1.2953128117546886,15.523996082272282,1.571068176745129,9.314731226918342,1.1541519383684544,20.323212536728697,1.7457766310578549,2437,2042,90.93283582089552,85.65436241610739,00AQ
E09000016,Havering,0.63173541434411,0.2994080104517144,0.7835051546391752,0.35098992652445604,75.77108881456708,1.6191633464900994,63.670103092783506,1.9146158177077988,13.749535488665924,1.3013576982637889,14.597938144329897,1.405599910371591,9.84764028242289,1.125969401174105,20.948453608247423,1.6199923097625986,2691,2425,95.29036827195468,93.7379203710862,00AR
E09000017,Hillingdon,2.2297488004515946,0.4862449989028051,2.1955403087478556,0.5320511103338693,76.8275472763195,1.3895311889581792,62.504288164665525,1.7577172930870844,11.43099068585944,1.047868153221827,14.614065180102918,1.2825727427959959,9.511713237369461,0.9661607039116891,20.686106346483704,1.4706770969678995,3543,2915,96.09438567941416,95.79362471245481,00AS
E09000018,Hounslow,1.7241379310344827,0.46463708179257274,1.730852444829078,0.5318396578459408,75.6631299734748,1.531718457017215,59.411510168758106,2.0025291350278875,10.742705570291777,1.1053075293980343,15.577672003461704,1.4788429002420638,11.870026525198938,1.154495108559033,23.279965382951104,1.7234062405964095,3016,2311,99.11271771278344,98.71849636907305,00AT
E09000019,Islington,1.0422380691168405,0.4663181325682946,1.2690355329949239,0.5528042750699977,75.31541415249589,1.979833924165639,60.59644670050761,2.413232050892068,13.658804168952276,1.5768459740135192,16.053299492385786,1.812974858266032,9.983543609434998,1.3765031848410916,22.081218274111674,2.04852092351725,1823,1576,91.47014550928249,92.10987726475746,00AU
E09000020,Kensington and Chelsea,0.6172839506172839,0.4926476319134346,0.7109004739336493,0.5671389719108004,78.08641975308642,2.601853867153212,61.01895734597157,3.292254656352637,12.345679012345679,2.0691054829223585,15.876777251184834,2.4670243190066934,8.950617283950617,1.7955746806501263,22.393364928909953,2.8141251607388442,972,844,97.78672032193158,96.01820250284415,00AW
