Unnamed: 0,Unnamed: 1,Underweight,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Healthy weight,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Overweight,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Obese,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Number of children measured,Unnamed: 27
,,Reception,,,Year 6,,,Reception,,,Year 6,,,Reception,,,Year 6,,,Reception,,,Year 6,,,,
ONS Code,Area,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Reception,Year 6
,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000002,Barking and Dagenham,1.60709337766694,1.24529277416985,2.0718043137221,1.09748224661072,0.786436217072736,1.52965439472816,72.9564976447769,71.4834875551758,74.3806894059932,54.6158812136862,52.8580923716384,56.3622370293599,12.4411194236631,11.4040883328117,13.5580216601099,14.7191736604261,13.5152760661921,16.0104579527507,12.995289553893,11.9374822335432,14.1317895448019,29.567462879277,27.9866182103829,31.1989166789042,3609,3098
E09000003,Barnet,1.91701043436059,1.54094131495936,2.38263878954641,1.63058757379814,1.2635273789194,2.10201023926999,78.6944916282456,77.4179070542953,79.9176299259832,65.5046387405117,63.9265162097744,67.0493082619306,10.2159669983014,9.32803759970374,11.1779980204513,13.8599943772842,12.7634177823858,15.0345471162962,9.17253093909245,8.32889195822224,10.0922150444681,19.004779308406,17.7491396155423,20.3272946907952,4121,3557
E09000004,Bexley,0.74280408542247,0.499675560776433,1.10292102643293,1.39385275196569,1.0213116273426,1.89967658785576,72.7329000309502,71.171026677843,74.2407815575919,58.5775553967119,56.7418203974677,60.3897699174973,14.0204271123491,12.8659265351406,15.2603810568361,15.5468191565404,14.2515258573257,16.9365863775649,12.5038687712782,11.4077018874625,13.6890909277459,24.481772694782,22.9242629595882,26.1092558533909,3231,2798
E09000005,Brent,1.79277616662273,1.41668355016591,2.26641621413474,1.61785216178522,1.25364290771242,2.08563691826447,69.8128130767203,68.3324184008405,71.2531164786389,54.8117154811716,53.1783088288976,56.4348213123644,14.7376746638545,13.6452523432546,15.9014503828882,15.258019525802,14.1181805705913,16.4722333949632,13.6567360928025,12.6006314032532,14.7863814625321,28.3124128312413,26.861498868105,29.8097551328734,3793,3585
E09000006,Bromley,0.827943078913325,0.587092361167434,1.16644185683523,1.27465857359636,0.94441050939424,1.71838671554717,78.9650711513583,77.6517506564278,80.2208715182347,67.9514415781487,66.3379312682546,69.5231434383459,12.522639068564,11.5162617577987,13.6034405914656,13.3535660091047,12.234699046972,14.5577815815654,7.6843467011643,6.88604743848157,8.5666782724068,17.4203338391502,16.1634248283434,18.7531200617062,3865,3295
E09000007,Camden,1.96476964769648,1.37144155988388,2.8074830439704,2.14132762312634,1.50400061159814,3.04038825305612,77.1680216802168,74.9577279908045,79.2372666972836,58.8151320485368,56.2172746203165,61.3647805254183,11.2466124661247,9.73437450580666,12.960047036372,15.98857958601,14.162827889526,18.0003358599263,9.62059620596206,8.21939561719087,11.2314352204638,23.0549607423269,20.9249538685481,25.3323269612908,1476,1401
E09000008,Croydon,1.37545669460563,1.07865411251372,1.75248068102683,1.38923970699672,1.06891315358113,1.80380986609204,74.6185256823555,73.3481272619186,75.8483081387441,61.1770649153827,59.6488503473776,62.6836100650904,13.324736728992,12.3784554547063,14.3315253299023,14.3470573377115,13.2896376064929,15.473598840516,10.6812808940469,9.82599650870756,11.6014338138482,23.0866380399091,21.8004913820129,24.4249626982478,4653,3959
E09000009,Ealing,2.30646266270838,1.90190088020778,2.79462900239675,1.8047788510422,1.43335272882788,2.2702361623402,79.2189997716374,77.9919093162449,80.3948706766723,59.735638027453,58.194332129179,61.2579492287759,9.91093857044987,9.06074415071848,10.8314072540755,14.9720386375191,13.8912874767709,16.1211310316836,8.56359899520438,7.77068730456652,9.42914677347318,23.4875444839858,22.1891070563353,24.837708984534,4379,3934
E09000010,Enfield,1.09564026477973,0.827404734042687,1.44956376660515,1.12899351429258,0.850106838485756,1.49798967028771,73.8644145172335,72.5428557776733,75.1441591266781,58.2272399711746,56.7221792162155,59.7171311527917,13.7183291485962,12.7313063457804,14.7689230272789,15.3735287052606,14.3098086318223,16.5010938589111,11.3216160693906,10.4170375122755,12.2939651128577,25.2702378092722,23.9733799993609,26.6126929206599,4381,4163
E09000011,Greenwich,0.947603121516165,0.678914050444147,1.32121484289186,0.95646437994723,0.666781671403963,1.37026340026843,74.7770345596433,73.3300158650153,76.1710553928394,56.0026385224274,54.2292892668694,57.7607966759387,12.5975473801561,11.5516507474621,13.7234475337066,15.0065963060686,13.7796992381806,16.3220524908338,11.6778149386845,10.6677206873899,12.7698800105288,28.0343007915567,26.4640766846459,29.6601143158476,3588,3032
