Unnamed: 0,Unnamed: 1,Underweight,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Healthy weight,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Overweight,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Obese (inclduing serverely obese),Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Serverely obese,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Number of children measured,Unnamed: 33
,,Reception,,,Year 6,,,Reception,,,Year 6,,,Reception,,,Year 6,,,Reception,,,Year 6,,,Reception,,,Year 6,,,,
ONS Code,Area,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Reception,Year 6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000002,Barking and Dagenham,1.77496991576414,1.37858271910584,2.28269322592886,1.30472600753842,0.976542915286441,1.74126095552161,73.1949458483755,71.6630050312291,74.6733369814835,53.8416932444187,52.1745981861095,55.5002401509658,11.6726835138387,10.6250925427257,12.8087599550748,15.3957668889533,14.2298444282368,16.6386872298813,13.3574007220217,12.2430962799523,14.5563011629999,29.4578138590896,27.9600031058084,31.0013330314155,4.45246690734055,3.80230241159589,5.20778603555479,8.03131342418092,7.17029303464227,8.98571833957307,3324,3449
E09000003,Barnet,1.71232876712329,1.35758989332898,2.15773347069379,1.28985154538817,0.987511248922619,1.68318393640042,79.2074363992172,77.9362714394711,80.4237609330501,63.6651253346313,62.1823998822621,65.1223239016206,10.958904109589,10.0377322790522,11.95338022803,15.0158189340472,13.9562622035288,16.1407272188554,8.12133072407045,7.3227543817606,8.99853923485895,20.0292041859333,18.8337413348386,21.2806534294509,1.88356164383562,1.50975846879668,2.34770913861609,4.40496471160866,3.81896477343265,5.07613761462766,4088,4109
E09000004,Bexley,0.708741140735741,0.464033758146261,1.08109291805018,1.07492886500158,0.77025412391982,1.49829830457615,76.7127910901114,75.1569351489947,78.1994717224812,61.3341764147961,59.6242783857975,63.0165771582311,11.609854876814,10.5057912188906,12.8133334604476,14.6063863420803,13.4185312587351,15.8801081233012,10.9686128923388,9.89354430957471,12.144756957814,22.984508378122,21.5515617345413,24.4829959715329,2.90246371920351,2.35630358882669,3.57058739140756,5.21656655074297,4.49453683047145,6.04724314688851,2963,3163
E09000005,Brent,2.55977496483826,2.08958558579343,3.13237951074326,2.08785249457701,1.67381390754677,2.60159879858591,71.4767932489451,69.9699710454085,72.9372508038617,56.4262472885032,54.8200636043519,58.0190576116337,13.1645569620253,12.0927818543247,14.3158533629388,15.4826464208243,14.351140993731,16.6859842891818,12.7988748241913,11.7407044585445,13.9373559269697,26.0032537960954,24.6130343931042,27.4434116991015,3.88185654008439,3.29506405901948,4.56821004461048,6.04663774403471,5.32216670833906,6.86257805489868,3555,3688
E09000006,Bromley,1.06326422115896,0.781822542639486,1.44454465145237,1.55815247634947,1.2018931115977,2.01785573355194,78.3094098883573,76.9639005930569,79.5971634690247,67.3344462993879,65.7833607252274,68.8485154778006,12.6262626262626,11.6028740678278,13.7258995741565,13.2999443516973,12.2288499315299,14.4494089580465,8.00106326422116,7.17631962630899,8.91149143651835,17.8074568725654,16.5912582663644,19.0924002137264,1.8341307814992,1.45189570147257,2.31463192247878,3.39454646633278,2.8504955648779,4.03811978011098,3762,3594
E09000007,Camden,1.28398791540786,0.803190408128752,2.04665725774414,1.54602951510892,1.02316875633139,2.32979372768809,78.8519637462236,76.5704848944165,80.9665045499813,62.9655657062544,60.4247988641185,65.4365186437834,11.1027190332326,9.52171198495971,12.9087865389543,13.9845397048489,12.2793072102058,15.8836997122888,8.76132930513595,7.35523985739567,10.4060265388316,21.5038650737878,19.4474234101232,23.7137459695285,2.79456193353474,2.03417365401369,3.82808183617323,4.07589599437807,3.16614111371587,5.23293210355278,1324,1423
E09000008,Croydon,1.69334261192299,1.34898237207475,2.1237166888462,1.51410874053682,1.19194350739364,1.92165711511014,76.0844351658548,74.7882189858537,77.3342059389936,59.7155310851113,58.2515733352491,61.1623798875423,11.7838088610531,10.8552140580087,12.7804506252409,14.2463867859601,13.2402390752848,15.3154962311605,10.4384133611691,9.56064212427821,11.3866271426609,24.5239733883918,23.2695829477935,25.8232268422658,3.20111343075852,2.7158957994449,3.76966019354815,5.62055517320486,4.97508853487731,6.34417354424905,4311,4359
E09000009,Ealing,1.41351837573888,1.08762052406754,1.83525733949417,1.86113099498926,1.49386812495945,2.31656095537177,77.1010023130301,75.7544046808229,78.3941408324668,59.4846098783107,57.9902963313232,60.9615522141878,11.1796453353894,10.2275618267385,12.2083054109817,14.2448103078024,13.2193799338214,15.3357268700826,10.3058339758417,9.38935002694891,11.3006181615044,24.4094488188976,23.1327929483197,25.7329741836036,3.0840400925212,2.58539351412195,3.6752325318616,4.86757337151038,4.25639877470946,5.56140871250071,3891,4191
