Unnamed: 0,Unnamed: 1,Underweight,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Healthy weight,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Overweight,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Obese,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Number of children measured,Unnamed: 27,Participation rate,Unnamed: 29
,,Reception,,,Year 6,,,Reception,,,Year 6,,,Reception,,,Year 6,,,Reception,,,Year 6,,,,,,
ONS Code,Area,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Reception,Year 6,Reception,Year 6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000015,Harrow,2.3392,1.8361000000000003,2.9759,2.2329,1.7023999999999997,2.9239,77.3026,75.6954,78.8333,61.07710000000001,59.06049999999999,63.05650000000001,11.038,9.918,12.2673,15.893199999999998,14.4512,17.4497,9.3202,8.2872,10.4673,20.7968,19.1821,22.5097,2736,2284,90.3,90.3
E09000016,Havering,0.4342,0.24849999999999997,0.7574,0.8197,0.5312,1.2627,73.7337,72.061,75.3406,63.7705,61.843,65.6547,14.0376,12.7924,15.382599999999998,14.7951,13.4417,16.2592,11.7945,10.6447,13.0503,20.6148,19.0564,22.2655,2764,2440,91.60000000000001,93.89999999999999
E09000017,Hillingdon,2.3416,1.9194,2.854,2.6341,2.13,3.2536,76.0661,74.7288,77.354,62.742,61.0393,64.4137,11.511,10.5651,12.529699999999998,14.789,13.5924,16.0713,10.0813,9.1923,11.0459,19.835,18.4798,21.2636,4057,3151,98.8,98
E09000018,Hounslow,2.8425,2.3157,3.4848999999999997,2.1622,1.6525999999999998,2.8243,76.4931,74.9759,77.9454,58.7942,56.8145,60.7458,10.5717,9.5426,11.6974,15.135099999999998,13.758499999999998,16.623,10.0926,9.0859,11.1971,23.9085,22.2463,25.6539,3131,2405,99.1,99.1
E09000019,Islington,0.8434,0.5198,1.3657,1.0243,0.6315,1.6575,75.9093,73.9338,77.7801,60.8835,58.4395,63.2741,12.4934,11.0809,14.057500000000001,16.6453,14.8804,18.5739,10.7538,9.4382,12.2281,21.4469,19.4827,23.5511,1897,1562,92.9,93.7
E09000020,Kensington and Chelsea,0.6452,0.296,1.4004,0.7955,0.3858,1.6327999999999998,76.3441,73.5079,78.9635,63.181799999999996,59.9443,66.3048,13.4409,11.3984,15.7841,14.7727,12.581600000000002,17.2701,9.5699,7.8421,11.6303,21.25,18.6752,24.0748,930,880,93.60000000000001,95.8
E09000021,Kingston upon Thames,1.2131,0.8097,1.8138,2.2551,1.6019,3.1661,81.6456,79.8397,83.3235,69.2037,66.7525,71.5511,11.1814,9.8407,12.679199999999998,13.178300000000002,11.5173,15.038099999999998,5.9599,4.9807,7.1171999999999995,15.362899999999998,13.5805,17.3324,1896,1419,99.2,99
E09000022,Lambeth,0.9709,0.6681,1.4089,0.7566,0.4791,1.1929,74.2539,72.5961,75.8447,58.0916,56.0974,60.05970000000001,12.5135,11.3352,13.7952,16.0992,14.6772,17.6305,12.2618,11.0945,13.533099999999997,25.0525,23.3525,26.832999999999995,2781,2379,98.2,92.5
E09000023,Lewisham,1.1184,0.8193,1.5252,1.0105,0.6954,1.4662,74.2472,72.7697,75.6713,59.6931,57.8206,61.5378,13.8228,12.717,15.008199999999999,15.007500000000002,13.7036,16.4119,10.8116,9.8237,11.8857,24.2889,22.7006,25.9511,3487,2672,95.5,93.10000000000001
E09000024,Merton,1.3746,0.9754,1.934,1.5730000000000002,1.0906,2.2641,77.7062,75.9706,79.3505,62.0787,59.8009,64.3043,11.8127,10.5641,13.1871,16.0674,14.434800000000001,17.8462,9.1065,8.0042,10.3436,20.2809,18.4779,22.2119,2328,1780,94.69999999999999,97.1
