Unnamed: 0,"NCMP 2010/11 to 2012/13
Obesity and excess weight prevalence by school year and electoral ward of child residence",Unnamed: 2,Unnamed: 3,Unnamed: 4,Reception (age 4-5 years),Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Year 6 (age 10-11),Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Reception (age 4-5 years).1,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Year 6 (age 10-11).1,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
,,,,,Number measured,Number obese,% obese,95% confidence limits,,,Number measured,Number obese,% obese,95% confidence limits,,,Number measured,Number excess weight,% excess weight,95% confidence limits,,,Number measured,Number excess weight,% excess weight,95% confidence limits,
,,,,,,,,Lower,Upper,,,,,Lower,Upper,,,,,Lower,Upper,,,,,Lower,Upper
Geog level,Code,Area name,LA code,LA name,,,,,,,,,,,,,,,,,,,,,,,
Ward,E05000001,Aldersgate,E09000001,City of London,12,s,s,s,s,,6,s,s,s,s,,12,s,s,s,s,,6,s,s,s,s
Ward,E05000015,Cripplegate,E09000001,City of London,25,s,s,s,s,,19,s,s,s,s,,25,s,s,s,s,,19,s,s,s,s
Ward,E05000017,Farringdon Within,E09000001,City of London,s,s,s,s,s,,s,s,s,s,s,,s,s,s,s,s,,s,s,s,s,s
Ward,E05000021,Portsoken,E09000001,City of London,25,s,s,s,s,,32,s,s,s,s,,25,s,s,s,s,,32,s,s,s,s
Ward,E05000026,Abbey,E09000002,Barking and Dagenham,661,100,0.15128593040847202,0.12598876940439813,0.18061283631115277,,392,91,0.23214285714285715,0.1930695641574972,0.2764150102333714,,661,185,0.27987897125567324,0.2470018039494287,0.3152998603959624,,392,145,0.36989795918367346,0.32358465747900594,0.41873642151084456
Ward,E05000027,Alibon,E09000002,Barking and Dagenham,596,57,0.09563758389261745,0.07455006696300087,0.12190427457646838,,399,102,0.2556390977443609,0.215307887293448,0.30063071403409053,,596,140,0.2348993288590604,0.2026288184249995,0.2705653142025364,,399,163,0.40852130325814534,0.3613838661281508,0.45740340513805594
Ward,E05000028,Becontree,E09000002,Barking and Dagenham,614,74,0.12052117263843648,0.09710074436134053,0.14866045643363648,,455,129,0.2835164835164835,0.2440500084338905,0.3266077945764875,,614,151,0.24592833876221498,0.21351503149373113,0.28150105144196164,,455,209,0.4593406593406593,0.41408176369736294,0.5052803617411344
Ward,E05000029,Chadwell Heath,E09000002,Barking and Dagenham,456,55,0.1206140350877193,0.09384829157067215,0.1537184657040004,,337,97,0.2878338278931751,0.24210010530225506,0.338349994592348,,456,105,0.23026315789473684,0.19397126417411598,0.2710617482234836,,337,150,0.44510385756676557,0.3929584969942869,0.49848663374767327
Ward,E05000030,Eastbrook,E09000002,Barking and Dagenham,439,48,0.10933940774487472,0.08346645488596934,0.1419899851830708,,278,67,0.24100719424460432,0.19448054354059938,0.29459391483561864,,439,105,0.23917995444191345,0.20164728744260046,0.2812376244402281,,278,111,0.39928057553956836,0.3434599924169456,0.4578467413960281
Ward,E05000031,Eastbury,E09000002,Barking and Dagenham,608,75,0.12335526315789473,0.09955625440553093,0.15188381491768702,,470,114,0.2425531914893617,0.20599070149764653,0.28328995241074234,,608,157,0.2582236842105263,0.22502974587634716,0.29445361740100234,,470,190,0.40425531914893614,0.36083821772063973,0.4492248353857859
Ward,E05000032,Gascoigne,E09000002,Barking and Dagenham,786,122,0.15521628498727735,0.13158417428341368,0.182202163535247,,486,127,0.2613168724279835,0.22423620219478962,0.30214116782500017,,786,230,0.2926208651399491,0.26188440649222267,0.3253745347049792,,486,194,0.3991769547325103,0.3565917332707271,0.44334353509970137
Ward,E05000033,Goresbrook,E09000002,Barking and Dagenham,639,92,0.14397496087636932,0.11888089657781518,0.17332405729260436,,457,118,0.25820568927789933,0.22021304718304652,0.3002294048360382,,639,182,0.28482003129890454,0.25119315953011173,0.3210186257761858,,457,190,0.41575492341356673,0.37145417273214554,0.4614601657541419
Ward,E05000034,Heath,E09000002,Barking and Dagenham,604,86,0.1423841059602649,0.11677253281204393,0.1725158272841127,,429,109,0.2540792540792541,0.2151914169150997,0.29733217411316315,,604,171,0.28311258278145696,0.24864262969568346,0.32032392202930043,,429,169,0.3939393939393939,0.34883942176071786,0.44092193740313007
Ward,E05000035,Longbridge,E09000002,Barking and Dagenham,463,58,0.12526997840172785,0.09816775588780591,0.15853921937405316,,439,99,0.2255125284738041,0.18889691694334418,0.26689026106434877,,463,105,0.2267818574514039,0.1909780298156836,0.2670820991216373,,439,174,0.39635535307517084,0.35168835795996894,0.4428204934869192
Ward,E05000036,Mayesbrook,E09000002,Barking and Dagenham,600,89,0.14833333333333334,0.12213319200132419,0.17900787104497864,,410,102,0.24878048780487805,0.20939645336203416,0.2928283827212593,,600,177,0.295,0.2599066821451963,0.33270161527042097,,410,162,0.3951219512195122,0.3489843662901779,0.44320658469605134
Ward,E05000037,Parsloes,E09000002,Barking and Dagenham,504,74,0.14682539682539683,0.11859872523107394,0.18039509692220063,,348,81,0.23275862068965517,0.19142372484883474,0.2799290809761617,,504,138,0.27380952380952384,0.236700470050166,0.31434051717159406,,348,149,0.4281609195402299,0.37723640743492587,0.480654131765342
